,business_id,name,address,postal_code,city,stars_y,review_count,pork belly/kimchi fries,ice cream/green tea,fried chicken/ chicken waffles,green curry/ duck fat/ fish tacos,pork sandwich/ beef brisket/mac cheese
0,-av1lZI1JDY_RZN2eTMnWg,Salad King Restaurant,340 Yonge Street,M5B 1R8,Toronto,3.5,876,0.021767898586594704,0.0259346926591479,0.018437300211092366,0.9108417487892342,0.009211653639533343
1,0J_NiF5Lb0bFM5v6ZY-uGw,Zet's Restaurant,6445 Airport Road,L4V 1Y4,Mississauga,4.0,333,0.027665986108767728,0.02774818630902323,0.05267186681938325,0.7330367937696236,0.11181834346379005
2,0a2O150ytxrDjDzXNfRWkA,Miku,105-10 Bay Street,M5J 2R8,Toronto,4.0,604,0.018701795710326263,0.34364216173330453,0.012160940783992083,0.6061690701818774,0.011341999654372194
3,0v8icS8wOOgEDiHDCOQkZQ,Chilli Chicken House,"4040 Creditview Road, Unit 25",L5C,Mississauga,4.0,320,0.014345766191438918,0.02847446646186467,0.06553167829405021,0.8632399105372976,0.013082508017263775
4,2Q89PhkcyT9uZnQORmqMKg,House of Gourmet,484 Dundas St W,M5T 1G9,Toronto,3.5,345,0.025629188221283405,0.059035469868281704,0.029460089648817453,0.8365577951211228,0.040545527315933104
5,3uIXuw878fNjxZ2Li1diFg,The Hogtown Vegan,1056 Bloor St. W,M6H 1M3,Toronto,4.0,384,0.010295610626727713,0.037890694480430295,0.11729140881655253,0.5457277981790197,0.2850770157783107
6,4DLsC4BTUoEqFGusetQVlQ,La Carnita,106 John Street,M5H 1X9,Toronto,3.5,317,0.0543932019856603,0.06783081019533319,0.07099535680785193,0.7536842225347038,0.027122382502424602
7,4MQaqhBUJCpghGukSWNq7w,The Loose Moose,146 Front Street West,M5J 1G2,Toronto,3.5,334,0.021880277300999208,0.03486474955533216,0.05817396553442242,0.7762661347419546,0.08249908339360773
8,4m_hApwQ054v3ue_OxFmGw,Patria,480 King Street W,M5V 1L7,Toronto,4.0,416,0.011355436199088405,0.10810524849912148,0.02980903152068331,0.8091868192569351,0.02551782349853084
9,5XVabANkehj7oH-Z7YZkwg,Alchemy Coffee,"4361 Highway 7 E, Unit 1",L3R 1M1,Markham,4.0,390,0.10315737827306411,0.06207614329015913,0.161353172195802,0.5533378894382013,0.11356075882231689
10,5aeOewSy4RiI8sLLWpeNGA,Pablo Cheesetart Canada,114 Dundas St W,M5G 1C3,Toronto,3.0,308,0.013047644396887735,0.42317676805212356,0.01636085284616328,0.5175657299087715,0.021228315140881925
11,6EVBc9kdc3Hd8KZkLVPnGA,Kaiju,"384 Yonge Street, Unit 51",M5B,Toronto,4.5,366,0.023145182254488944,0.1099996133900518,0.12040557017810473,0.709854065258751,0.02197568587766759
12,6ZsiLiSWGK2pgw6t3LfzNQ,Donburi,"505 Highway 7 E, Unit 93-95",L3T 7T1,Markham,3.5,342,0.03263908603868799,0.23322322474185325,0.08502959297051733,0.594647251350574,0.02220278038223853
13,73_UT7fZ7mzXcguX8-oSuQ,Amsterdam BrewHouse,245 Queens Quay W,M5J 2K9,Toronto,3.5,584,0.013092427058459824,0.03595068445973392,0.03320841718264489,0.8273072645775965,0.07692769320805133
14,7oEKIG7d1ttPRejppZ3WIA,Lady Marmalade,898 Queen Street E,M4M 1J3,Toronto,4.0,456,0.00990976180243184,0.02355745342311086,0.0355745139947193,0.7514130560766148,0.17954521470312276
15,8I5U8OQ06nSxX2y4PPOWzQ,Japango,122 Elizabeth Street,M5G 1P5,Toronto,3.5,643,0.01929998253878378,0.173099478149433,0.01721255274362587,0.7720349566904451,0.01148804131935981
16,8MWiywu09bhLWIpzVaD4gw,Aunties & Uncles,74 Lippincott Street,M5S 2P1,Toronto,3.5,333,0.009937853189299569,0.021482131324588066,0.036250179027606064,0.836743081315525,0.07442273397896038
17,8YG7PRoZuHeKii0rtNvJFQ,Dragon Boat Fusion Cuisine,"160 E Beaver Creek Road, Suite 4-6",L4B 4A7,Richmond Hill,3.5,457,0.02063895390296272,0.06298591737851467,0.03558149203402952,0.8294124254815382,0.018447079466427756
18,9Eghhu_LzEJgDKNgisf3rg,SCADDABUSH Italian Kitchen & Bar,"382 Yonge Street, Unit #7",M5B 1S8,Toronto,3.5,408,0.013616626159443784,0.04154703146067806,0.026122522558601168,0.8785818501665233,0.020826950349734443
19,9ot8oInkYZTt6wkkGe__vQ,Auberge du Pommier,4150 Yonge Street,M2P 2C6,Toronto,4.0,319,0.018338006788151458,0.1557279111687929,0.015383606255384364,0.7700268983126183,0.020443256189912235
20,9tfw-OEfpF0qC2hSzRks6g,Hair of the Dog,425 Church Street,M4Y 2C3,Toronto,4.0,301,0.006897010531109914,0.022648957125694043,0.08427648288115554,0.8129792036084128,0.0637643835894765
21,A7waf6G3cvnLfAqKeLL8DA,Buca,604 King Street W,M5V 1M6,Toronto,4.0,392,0.012073960698977069,0.07448890783320605,0.03136653424711461,0.8450151621473907,0.02245689492732642
22,ABRgXNwdOX_JyqChNr8IYw,Swatow Restaurant,309 Spadina Avenue,M5T 2E6,Toronto,4.0,312,0.015934480731824043,0.020378501199111224,0.020246367654902675,0.873424024804204,0.019788315107674953
23,B70iTJjcPkuYn8ouUewWgw,Gusto 101,101 Portland Street,M5V 2N3,Toronto,4.0,836,0.010507150324911346,0.03687127116789295,0.018249220971819764,0.9006788185072414,0.02299017511376121
24,BUcTdN-rNE8urCCQuxSOQA,Mother's Dumplings,421 Spadina Avenue,M5T 2A8,Toronto,3.0,478,0.04953154262435843,0.030425827473065742,0.018477078362427825,0.8410854560797082,0.021349660677831762
25,BYDs_o6U4CLxJec8k1Q90Q,Poke Guys,"112 Elizabeth Street, Unit 1",M5G 1P5,Toronto,4.0,319,0.02834809388826351,0.07052813077238286,0.019716349921632334,0.8368524077859879,0.01752799060470655
26,Bf2fuqWbHd3L-X69FSMvmg,El Trompo Taco Bar,277 Augusta Ave,M5T 2M1,Toronto,4.0,310,0.027336851763796625,0.024377461442309994,0.015390248801906216,0.8322090436718956,0.07211496574866272
27,BxCzy1WOVxOrr_G7V4BIvg,Lola's Kitchen,634 Church Street,M4Y 2G3,Toronto,4.0,386,0.010509406175452336,0.022540302189330032,0.033131508913507086,0.8438470680546792,0.07940833438534049
28,C8_zdU7zGLUK3uC4e5AepQ,MeNami,5469 Yonge Street,M2N 5S1,Toronto,3.5,371,0.10968994099059592,0.1419025854647441,0.06938795512452398,0.6415612146406161,0.022249178304234563
29,CN5nuUQod0f8g3oh99qq0w,KINKA IZAKAYA BLOOR,559 Bloor St W,M5S 1Y6,Toronto,4.0,419,0.03378083288279239,0.13203965453469602,0.1358073176327777,0.6701224267465105,0.016519562924630637
30,CfxVkwEJk1NAqgqMSesLzA,KINKA IZAKAYA NORTH  YORK,"4775 Yonge Street, Unit 114",M2N 5M5,Toronto,3.5,311,0.04831056955839301,0.13384985448552006,0.09804173253069669,0.6944616712741225,0.016076912892007883
31,Cp3YRVZojrCGeQS41Hf1pw,Pho Hung,350 Spadina Avenue,M5T 2G4,Toronto,3.0,419,0.03596682537701717,0.039968649648231415,0.026296022759849373,0.8458024280033436,0.03235823107430335
32,Cr5CLpmVrmzFyz_RfQ6rmA,Scaddabush,155A York Boulevard,L4B 3B4,Richmond Hill,3.5,319,0.013704774373112377,0.07435709023332485,0.02557007358959547,0.8442624570352534,0.02445854594518447
33,D-8yidw7FLKKQpciKJSd2g,The Burgernator,269 Augusta Avenue,M5T 1M5,Toronto,4.0,310,0.02618190175458452,0.05320550084160814,0.10621736008335023,0.6976073931716876,0.10793828662664573
34,DE89UdHFMCN6DtYWZuer5A,Hokkaido Ramen Santouka,91 Dundas Street E,M5B 2C8,Toronto,4.0,750,0.16378990931341136,0.07327623441867198,0.04564271887380669,0.691037741759814,0.009304243091922336
35,DizSoX0FqH_EvXSHW6wEIQ,Le Petit Déjeuner,191 King Street E,M5A 1J5,Toronto,3.5,328,0.014631965321483267,0.03673056198631596,0.05738226379077472,0.7646059786304799,0.10328474428963734
